slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,D_to_H1_flux,L1_to_D_flux
-0.1945119511951195,-5.255152700556209e-06,4.375888839169839e-06,-1.1887445183544898e-05,1.6058251067021014,46471.669353893754,1.9602558476161908e-10,7.702035584571805e-08
-0.1945039503950395,-5.277888149635146e-06,4.381675270503926e-06,-1.1879085665356117e-05,1.6049922725892232,46428.16715340944,1.961294880704407e-10,7.70162329199488e-08
-0.1944959495949595,-5.294674551237222e-06,4.387410180606288e-06,-1.186852766910107e-05,1.6043005130561834,46402.39364873776,1.96243867563294e-10,7.70159508040112e-08
-0.1944879487948795,-5.38111970627142e-06,4.390621020533558e-06,-1.1869607222880774e-05,1.6017952426202131,46207.84261335814,1.964355735131941e-10,7.704992322960545e-08
-0.1944799479947994,-5.337207127809052e-06,4.398802821325987e-06,-1.1847329670855444e-05,1.6026595789608504,46332.03283674415,1.964557922521921e-10,7.70096384363904e-08
-0.1944719471947194,-5.390826487428058e-06,4.401826468214409e-06,-1.1849859564705412e-05,1.6011323879088413,46205.35619696738,1.9666529798725528e-10,7.705034296516793e-08
-0.1944639463946394,-5.37001392331149e-06,4.4090512911765245e-06,-1.183784294611634e-05,1.6014952239467908,46260.08458612254,1.9671597085097263e-10,7.702341863193517e-08
-0.1944559455945594,-5.438991479422839e-06,4.412843396417454e-06,-1.1830555934233544e-05,1.5993773198431822,46120.37522796568,1.9686498730222318e-10,7.704062246214672e-08
-0.1944479447944794,-5.472869275990888e-06,4.4186703587745235e-06,-1.1825022703693122e-05,1.5982866466523322,46047.80371841214,1.9697557030239706e-10,7.703864437412456e-08
-0.1944399439943994,-5.437742032654569e-06,4.425855494039066e-06,-1.1805613228776934e-05,1.5989361564982525,46148.42742934427,1.9705076062568289e-10,7.702057751895661e-08
-0.1944319431943194,-5.444000393595161e-06,4.429488074719767e-06,-1.1805156792554785e-05,1.598726211361089,46128.34372104494,1.9718496628082864e-10,7.703301376247924e-08
