slopeL,slopeH,F_sc,F_yield,fluxD,fluxHR,fluxLR,D_H1_flux,L1_D_flux,potential_H1,F_sc_inv
-0.2,0.1232323232323232,-1.2152968184047635e-06,0.0913416280091742,-4.058332208759823,5.473955423088672,-1.4156232144478047,-811764.1736798431,-11080.07708733247,0.5987323232323232,-822844.2507671757
-0.2,0.01010101010101,-6.258173662730685e-08,0.1327388187103902,-2.351283475593089,3.7667956129124103,-1.4155121375984616,-15845566.951312536,-133535.80122535478,0.4856010101010101,-15979102.752537888
-0.2,0.0343434343434343,-1.275697213803635e-07,0.1052917415060814,-3.333130003256377,4.748710514669398,-1.4155805114551672,-7775712.8302090205,-63137.87181914689,0.5098434343434344,-7838850.7020281665
-0.2,0.1434343434343434,-1.624523987321504e-06,0.0911274126518626,-4.071195922344228,5.486823179172717,-1.4156272569101982,-605403.0817255524,-10161.851636119967,0.6189343434343434,-615564.9333616724
-0.2,0.1757575757575757,-2.4533538928377098e-06,0.0909994705931864,-4.078903512437657,5.49453745977052,-1.4156339474746442,-397992.3891037015,-9612.890721352416,0.6512575757575757,-407605.2798250539
-0.2,0.0424242424242424,-1.651160092915851e-07,0.1010917656448812,-3.530400670487042,4.9460012575754355,-1.4156005868885009,-6007386.798237545,-48961.12520371959,0.5179242424242424,-6056347.923441265
-0.2,0.1717171717171717,-2.3332624382482036e-06,0.0910084201884397,-4.078368377226888,5.493997137541658,-1.4156287601504671,-418934.4623814958,-9649.988131834683,0.6472171717171717,-428584.45051333046
-0.2,0.0141414141414141,-6.97608268303521e-08,0.1258382963287712,-2.5578223002720515,3.973353220579959,-1.4155309204633737,-14215930.69504092,-118761.78834736314,0.4896414141414141,-14334692.483388284
-0.2,0.0303030303030303,-1.123729909452495e-07,0.1080408950565327,-3.2123023938085447,4.627877247136837,-1.4155748534684904,-8827115.481112588,-71820.03344732185,0.5058030303030303,-8898935.51455991
-0.2,0.1474747474747474,-1.7142332140872796e-06,0.0911013889824917,-4.072762157678919,5.488390523813983,-1.4156283661833775,-573300.9780451354,-10050.220486177968,0.6229747474747475,-583351.1985313133
-0.2,0.1676767676767676,-2.2186518569331524e-06,0.0910180660930058,-4.077779351259063,5.493414894984525,-1.4156355439890471,-441030.68311891553,-9693.479338146264,0.6431767676767677,-450724.1624570618
-0.2,0.0181818181818181,-7.813440781802916e-08,0.1200955190754906,-2.747816439882061,4.163352669961537,-1.415536230190042,-12693307.827904902,-105150.98077957048,0.4936818181818181,-12798458.80868447
-0.2,0.1515151515151515,-1.8072146176618845e-06,0.0910791777391335,-4.0740998129057004,5.489728963338013,-1.4156291506182523,-543382.8563126203,-9954.85478544919,0.6270151515151514,-553337.7110980696
-0.2,0.1636363636363636,-2.1091341245294832e-06,0.0910297413702014,-4.077072855949187,5.4927103214294775,-1.4156374658941908,-464383.8886310085,-9744.327479043375,0.6391363636363636,-474128.2161100519
-0.2,0.0262626262626262,-9.92254179180058e-08,0.1113449745063015,-3.074984179864662,4.490548425743945,-1.415564246170771,-9996381.050185597,-81681.81901131522,0.5017626262626262,-10078062.869196909
-0.2,0.0464646464646464,-1.879743170867208e-07,0.0994973064088559,-3.6096597526178433,5.025261668272595,-1.4156019157995336,-5276611.692769044,-43263.998220466354,0.5219646464646465,-5319875.69098951
-0.2,0.1272727272727272,-1.29268662283607e-06,0.091284240685081,-4.061772498882943,5.477396714242939,-1.415624215565408,-762748.251862566,-10834.441989456134,0.6027727272727272,-773582.6938520223
-0.2,0.1555555555555555,-1.9037879348381092e-06,0.0910599268474886,-4.075255340812118,5.490889541778461,-1.4156342009226928,-515395.17786210944,-9873.409936266466,0.6310555555555555,-525268.5877983759
