slopeH,NADPH_flux,NAD_flux,Fd_flux,F_yield,F_sc,D_to_H1_flux,L1_to_D_flux,FeS_H1_pot,S_FAD_mid_pot
-0.0992899289928993,-5.376159388958968e-05,3.972248615013996e-05,1.402361366986682e-05,-0.0001075076937095,1.5283021798533796e-07,6.919301685449665e-08,8.363720113084128e-08,-0.0592899289928993,-0.1585798579857986
-0.0992699269926992,-5.349285136446724e-05,3.9590830638758234e-05,1.393674008709489e-05,-0.0001070204220903,1.5251024582172018e-07,6.899810689208805e-08,8.351213892963213e-08,-0.0592699269926992,-0.1585398539853985
-0.0992499249924992,-5.3445460793000166e-05,3.955226348750784e-05,1.387864933288796e-05,-0.0001068763736133,1.525480289556348e-07,6.89651561988684e-08,8.358287275676639e-08,-0.0592499249924992,-0.1584998499849985
-0.0992299229922992,-5.3354845107378424e-05,3.9517616173156966e-05,1.3821909756961404e-05,-0.0001066943710374,1.5260132215417014e-07,6.89391991618522e-08,8.366212299231792e-08,-0.0592299229922992,-0.1584598459845984
-0.0992099209920992,-5.299359590082986e-05,3.931742105578451e-05,1.371401230088054e-05,-0.0001060250292574,1.520145470282873e-07,6.862428832822392e-08,8.339025870006335e-08,-0.0592099209920992,-0.1584198419841984
-0.0991899189918992,-5.292452554783722e-05,3.929524488910374e-05,1.3663078571424236e-05,-0.0001058828490083,1.5211503135704126e-07,6.861979604355703e-08,8.349523531348426e-08,-0.0591899189918992,-0.1583798379837984
-0.0991699169916991,-5.274097082974549e-05,3.91902096339436e-05,1.3583499294700374e-05,-0.0001055146797583,1.518945866883787e-07,6.847059252852289e-08,8.34239941598558e-08,-0.0591699169916991,-0.1583398339833983
-0.0991499149914991,-5.2733136911342626e-05,3.9188975009096794e-05,1.3534721195807007e-05,-0.0001054568331162,1.520761334727113e-07,6.850262388362965e-08,8.357350958908163e-08,-0.0591499149914991,-0.1582998299829983
-0.0991299129912991,-5.256842381129445e-05,3.909432945192748e-05,1.3459871777365962e-05,-0.0001051226250405,1.5189515208809168e-07,6.837136511823407e-08,8.352378696985761e-08,-0.0591299129912991,-0.1582598259825982
-0.0991099109910991,-5.2190864764156686e-05,3.890164749975611e-05,1.3356048017332256e-05,-0.0001044485602812,1.5133262053654346e-07,6.806863644641625e-08,8.326398409012718e-08,-0.0591099109910991,-0.1582198219821982
-0.0990899089908991,-5.2347659803331226e-05,3.8994636440747854e-05,1.3334923023133882e-05,-0.0001046772192672,1.5188048854192938e-07,6.82653650616682e-08,8.361512348026116e-08,-0.0590899089908991,-0.1581798179817982
-0.099069906990699,-5.200046628317523e-05,3.879948653207066e-05,1.3233524874367577e-05,-0.0001040334776896,1.513064850485405e-07,6.795788865774044e-08,8.334859639080004e-08,-0.059069906990699,-0.1581398139813981
-0.099049904990499,-5.180182849073845e-05,3.870520257009957e-05,1.3158509226451898e-05,-0.0001036655402872,1.5112474898572237e-07,6.782685024691787e-08,8.32978987388045e-08,-0.059049904990499,-0.1580998099809981
-0.099029902990299,-5.171885743493476e-05,3.8658397372159925e-05,1.3099381710901524e-05,-0.0001034766365179,1.5112794974391545e-07,6.777888666194944e-08,8.3349063081966e-08,-0.059029902990299,-0.158059805980598
-0.099009900990099,-5.15842890820295e-05,3.8586616639690874e-05,1.3031880703007204e-05,-0.0001032027864247,1.510331862770176e-07,6.768704365710087e-08,8.334614261991674e-08,-0.059009900990099,-0.158019801980198
-0.098989898989899,-5.134826901098677e-05,3.846212089797518e-05,1.2946773757516183e-05,-0.0001027571636664,1.507315195260308e-07,6.750261093472417e-08,8.322890859130665e-08,-0.058989898989899,-0.157979797979798
-0.0989698969896989,-5.145251354576885e-05,3.852510317869928e-05,1.2920048261921837e-05,-0.0001028976649863,1.5116421335625816e-07,6.764702041315749e-08,8.35171929431007e-08,-0.0589698969896989,-0.1579397939793979
-0.0989498949894989,-5.127126975423835e-05,3.8416713309175066e-05,1.2840517420231734e-05,-0.0001025285004836,1.5092516367337366e-07,6.749078667510287e-08,8.343437699827079e-08,-0.0589498949894989,-0.1578997899789979
-0.0989298929892989,-5.123839277132447e-05,3.842442085044695e-05,1.2799579689470876e-05,-0.0001024623933112,1.5114168495732813e-07,6.753829044799731e-08,8.360339450933082e-08,-0.0589298929892989,-0.1578597859785978
-0.0989098909890989,-5.092274084006476e-05,3.8252311071573786e-05,1.2703814656900292e-05,-0.0001018788665685,1.506507600291259e-07,6.726977928111284e-08,8.338098074801305e-08,-0.0589098909890989,-0.1578197819781978
-0.0988898889888989,-5.09043649827845e-05,3.823677616310306e-05,1.2650612658093864e-05,-0.0001017917538039,1.507756126468749e-07,6.727636581533065e-08,8.349924683154425e-08,-0.0588898889888989,-0.1577797779777978
-0.0988698869886988,-5.064649047881176e-05,3.810213210897473e-05,1.2563816816024698e-05,-0.0001013124394038,1.504306429067187e-07,6.70734060297514e-08,8.335723687696732e-08,-0.0588698869886988,-0.1577397739773977
