slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,slopeH_rounded
-0.154883988,-0.000520706,0.000224801,0.000244228,0.074971747,1010.371773481222,-0.154884
-0.154875988,-0.000520641,0.000224681,0.000244199,0.075130621,1010.5898430085028,-0.154876
-0.154867987,-0.000520468,0.000224636,0.000244121,0.075076709,1010.892084,-0.154868
-0.154859986,-0.00052034,0.000224458,0.000244055,0.07529661,1011.272462869973,-0.15486
-0.154851985,-0.000520137,0.00022432,0.000243957,0.075386913,1011.7223262270256,-0.154852
-0.154843984,-0.00052006,0.000224327,0.000243932,0.075306592,1011.8183396274146,-0.154844
-0.154835984,-0.000519973,0.000224107,0.000243879,0.075636521,1012.1878933691596,-0.154836
-0.154827983,-0.000519669,0.000223996,0.000243739,0.075599812,1012.7568306090334,-0.154828
-0.154819982,-0.0005198,0.000223978,0.000243791,0.075736802,1012.586820310008,-0.15482
-0.154811981,-0.000519642,0.000223772,0.000243718,0.075978882,1013.0356022205196,-0.154812
-0.15480398,-0.000519498,0.000223653,0.000243654,0.076077319,1013.3724637532432,-0.154804
-0.15479598,-0.000519331,0.000223561,0.000243575,0.076112075,1013.718542805492,-0.154796
-0.154787979,-0.000519286,0.000223424,0.000243551,0.076321871,1013.9301137425392,-0.154788
-0.154779978,-0.000519072,0.000223439,0.000243452,0.076132302,1014.2371147515552,-0.15478
-0.154771977,-0.000518985,0.000223243,0.000243406,0.076415435,1014.574880595426,-0.154772
-0.154763976,-0.000518927,0.000223206,0.000243376,0.076438602,1014.7037870996164,-0.154764
-0.154755976,-0.000518637,0.000222933,0.000243243,0.076697888,1015.4208014444632,-0.154756
-0.154747975,-0.000518523,0.000222924,0.000243197,0.076621506,1015.5955698943296,-0.154748
-0.154739974,-0.000518463,0.000222813,0.00024316,0.076779121,1015.809916883016,-0.15474
-0.154731973,-0.000518311,0.000222613,0.000243082,0.077021298,1016.2532897683064,-0.154732
-0.154723972,-0.000518202,0.000222527,0.000243039,0.077085579,1016.4996882493856,-0.154724
-0.154715972,-0.000518061,0.00022233,0.000242962,0.077335509,1016.929695102452,-0.154716
-0.154707971,-0.000517766,0.000222205,0.000242831,0.077325879,1017.4982122953196,-0.154708
-0.15469997,-0.000517806,0.000222206,0.000242851,0.077354913,1017.4359664959036,-0.1547
-0.154691969,-0.000517614,0.000221909,0.000242752,0.077740991,1018.0451266270196,-0.154692
-0.154683968,-0.000517529,0.000221833,0.000242709,0.077811805,1018.2558208306402,-0.154684
-0.154675968,-0.000517289,0.000221782,0.0002426,0.077718394,1018.6716037487172,-0.154676
-0.154667967,-0.000517133,0.000221517,0.000242519,0.0780765,1019.1928169314768,-0.154668
-0.154659966,-0.000517004,0.000221483,0.000242462,0.078035478,1019.4215253220602,-0.15466
-0.154651965,-0.000516873,0.000221304,0.000242398,0.078254962,1019.8091697329328,-0.154652
-0.154643964,-0.000516701,0.000221157,0.000242316,0.078387357,1020.2271354350662,-0.154644
-0.154635964,-0.000516647,0.000221127,0.000242287,0.078401713,1020.3440817882064,-0.154636
-0.154627963,-0.000516406,0.000220996,0.000242165,0.078458646,1020.8594694012422,-0.154628
-0.154619962,-0.000516441,0.000220957,0.00024218,0.078555599,1020.8472573800176,-0.15462
-0.154611961,-0.000516257,0.000220924,0.000242095,0.078472185,1021.1624861497372,-0.154612
-0.15460396,-0.000516115,0.000220688,0.000242028,0.078786053,1021.6261164347032,-0.154604
-0.15459596,-0.000515881,0.000220559,0.000241916,0.078839163,1022.1224786021494,-0.154596
-0.154587959,-0.00051585,0.000220392,0.0002419,0.079113143,1022.3455227831696,-0.154588
-0.154579958,-0.000515692,0.00022032,0.000241824,0.079122732,1022.6667236672632,-0.15458
