t,F_sc_best,F_sc
163,4.200579416343698e-06,4.200579416343698e-06
164,4.200579416343698e-06,4.200579416343698e-06
165,4.200579416343698e-06,4.200579416343698e-06
166,4.200579416343698e-06,4.200579416343698e-06
167,4.200579416343698e-06,4.200579416343698e-06
168,4.200579416343698e-06,4.200579416343698e-06
169,4.200579416343698e-06,4.200579416343698e-06
170,4.200579416343698e-06,4.200579416343698e-06
171,4.200579416343698e-06,4.200579416343698e-06
172,4.200579416343698e-06,4.200579416343698e-06
173,4.200579416343698e-06,4.200579416343698e-06
174,4.200579416343698e-06,4.200579416343698e-06
175,4.200579416343698e-06,4.200579416343698e-06
176,4.200579416343698e-06,4.200579416343698e-06
177,4.200579416343698e-06,4.200579416343698e-06
178,4.200579416343698e-06,4.200579416343698e-06
179,4.200579416343698e-06,4.200579416343698e-06
180,4.200579416343698e-06,4.200579416343698e-06
181,4.200579416343698e-06,4.200579416343698e-06
182,4.200579416343698e-06,4.2006724534600916e-06
183,4.200579416343698e-06,4.200579416343698e-06
184,4.200579416343698e-06,4.200579416343698e-06
185,4.200579416343698e-06,4.200579416343698e-06
186,4.200579416343698e-06,4.200579416343698e-06
187,4.200579416343698e-06,4.200579416343698e-06
188,4.200579416343698e-06,4.200579416343698e-06
189,4.200579416343698e-06,4.200579416343698e-06
190,4.200579416343698e-06,4.200579416343698e-06
191,4.200579416343698e-06,4.200579416343698e-06
192,4.200579416343698e-06,4.200579416343698e-06
193,4.200579416343698e-06,4.200579416343698e-06
194,4.200579416343698e-06,4.200579416343698e-06
195,4.200579416343698e-06,4.200579416343698e-06
196,4.200579416343698e-06,4.200579416343698e-06
197,4.200579416343698e-06,4.2027910275108095e-06
198,4.200579416343698e-06,4.200579416343698e-06
199,4.200579416343698e-06,4.200579416343698e-06
200,4.200579416343698e-06,4.200579416343698e-06
201,4.200579416343698e-06,4.200579416343698e-06
202,4.200579416343698e-06,4.200579416343698e-06
203,4.200579416343698e-06,4.200579416343698e-06
204,4.200579416343698e-06,4.200579416343698e-06
205,4.200579416343698e-06,4.200579416343698e-06
206,4.200579416343698e-06,4.200579416343698e-06
207,4.200579416343698e-06,4.200579416343698e-06
208,4.200579416343698e-06,4.200579416343698e-06
209,4.200579416343698e-06,4.203000280012949e-06
210,4.200579416343698e-06,4.200579416343698e-06
211,4.200579416343698e-06,4.200579416343698e-06
212,4.200579416343698e-06,4.200579416343698e-06
213,4.200579416343698e-06,4.200579416343698e-06
214,4.200579416343698e-06,4.200579416343698e-06
215,4.200579416343698e-06,4.200579416343698e-06
216,4.200579416343698e-06,4.200579416343698e-06
217,4.200579416343698e-06,4.200579416343698e-06
218,4.200579416343698e-06,4.200579416343698e-06
219,4.200579416343698e-06,4.200579416343698e-06
220,4.200579416343698e-06,4.200579416343698e-06
221,4.200579416343698e-06,4.200579416343698e-06
222,4.200579416343698e-06,4.200579416343698e-06
223,4.200579416343698e-06,4.200579416343698e-06
224,4.200579416343698e-06,4.200579416343698e-06
225,4.200579416343698e-06,4.200579416343698e-06
226,4.200579416343698e-06,4.2006482871365675e-06
227,4.200579416343698e-06,4.200579416343698e-06
228,4.200579416343698e-06,5.354398148581339e-06
229,4.200579416343698e-06,4.200579416343698e-06
230,4.200579416343698e-06,4.200579416343698e-06
231,4.200579416343698e-06,4.200579416343698e-06
232,4.200579416343698e-06,4.200579416343698e-06
233,4.200579416343698e-06,4.200579416343698e-06
234,4.200579416343698e-06,4.200579416343698e-06
235,4.200579416343698e-06,4.200579416343698e-06
236,4.200579416343698e-06,4.200579416343698e-06
237,4.200579416343698e-06,4.207094544411523e-06
238,4.200579416343698e-06,4.200579416343698e-06
239,4.200579416343698e-06,4.200579416343698e-06
240,4.200579416343698e-06,4.200579416343698e-06
241,4.200579416343698e-06,4.200579416343698e-06
242,4.200579416343698e-06,4.200579416343698e-06
243,4.200579416343698e-06,4.200579416343698e-06
244,4.200579416343698e-06,4.200579416343698e-06
245,4.200579416343698e-06,4.200579416343698e-06
246,4.200579416343698e-06,4.200579416343698e-06
247,4.200579416343698e-06,4.200579416343698e-06
248,4.200579416343698e-06,4.200579416343698e-06
249,4.200579416343698e-06,4.200579416343698e-06
250,4.200579416343698e-06,4.200579416343698e-06
251,4.200579416343698e-06,4.200579416343698e-06
252,4.200579416343698e-06,4.200579416343698e-06
253,4.200579416343698e-06,4.200579416343698e-06
254,4.200579416343698e-06,4.200579416343698e-06
255,4.200579416343698e-06,4.200579416343698e-06
256,4.200579416343698e-06,4.200579416343698e-06
257,4.200579416343698e-06,4.200579416343698e-06
258,4.200579416343698e-06,4.200579416343698e-06
259,4.200579416343698e-06,4.200579416343698e-06
260,4.200579416343698e-06,4.200579416343698e-06
261,4.200579416343698e-06,4.200579416343698e-06
262,4.200579416343698e-06,4.200579416343698e-06
263,4.200579416343698e-06,4.200579416343698e-06
264,4.200579416343698e-06,4.200579416343698e-06
265,4.200579416343698e-06,4.200579416343698e-06
266,4.200579416343698e-06,4.200579416343698e-06
267,4.200579416343698e-06,4.200579416343698e-06
268,4.200579416343698e-06,4.200579416343698e-06
269,4.200579416343698e-06,4.200579416343698e-06
270,4.200579416343698e-06,4.200579416343698e-06
271,4.200579416343698e-06,4.200579416343698e-06
272,4.200579416343698e-06,4.200579416343698e-06
273,4.200579416343698e-06,4.200579416343698e-06
274,4.200579416343698e-06,4.200579416343698e-06
275,4.200579416343698e-06,4.209642170528268e-06
276,4.200579416343698e-06,4.200579416343698e-06
277,4.200579416343698e-06,4.200579416343698e-06
278,4.200579416343698e-06,4.200579416343698e-06
279,4.200579416343698e-06,4.200579416343698e-06
280,4.200579416343698e-06,4.200579416343698e-06
281,4.200579416343698e-06,4.200579416343698e-06
282,4.200579416343698e-06,4.200579416343698e-06
283,4.200579416343698e-06,4.200579416343698e-06
284,4.200579416343698e-06,4.200579416343698e-06
285,4.200579416343698e-06,4.200579416343698e-06
286,4.200579416343698e-06,4.200579416343698e-06
287,4.200579416343698e-06,4.200579416343698e-06
288,4.200579416343698e-06,4.200579416343698e-06
289,4.200579416343698e-06,4.200579416343698e-06
290,4.200579416343698e-06,4.200579416343698e-06
291,4.200579416343698e-06,4.200579416343698e-06
292,4.200579416343698e-06,4.200579416343698e-06
293,4.200579416343698e-06,4.200579416343698e-06
294,4.200579416343698e-06,4.200579416343698e-06
295,4.200579416343698e-06,4.200579416343698e-06
296,4.200579416343698e-06,4.200579416343698e-06
297,4.200579416343698e-06,4.200579416343698e-06
298,4.200579416343698e-06,4.200794864446933e-06
299,4.200579416343698e-06,4.200579416343698e-06
