slopeL,slopeH,F_t,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1
-0.166666667,0.1166666666666666,0.009999488,1.4295094081622763,0.009999488,-16.83225791,50.00256154781603,-33.1703038,0.2548648943909646
-0.166666667,0.1666666666666666,0.052577644,1.4292690940649262,0.009999558,-16.84154359,50.00221177984928,-33.16066835,0.3693893891018406
-0.166666667,0.1833333333333333,0.009999492,1.4292677733821255,0.009999492,-16.84170525,50.00253831747497,-33.16083322,0.385289372
-0.166666667,0.1499999999999999,0.009999568,1.4292844911522713,0.009999568,-16.84092362,50.00215992895557,-33.16123645,0.3213493857725583
-0.166666667,-0.083333333,0.055662256,1.5115198807118124,0.010635732,-12.82646531,47.01133875299621,-34.18487363,0.2135563811034475
-0.166666667,-0.166666667,0.075965413,2.1584074774346207,0.011559988,23.839235229946695,19.413405161959933,-43.25264037,0.050018907
-0.166666667,-0.133333333,0.011775491,1.976035291186883,0.011775491,11.23703882138409,31.224033916737387,-42.46107275,0.050000022
-0.166666667,0.033333333,0.009999677,1.4298172406558856,0.009999677,-16.81989371,50.00161256089689,-33.181719,0.2343396308949432
-0.166666667,-0.116666667,0.067929989,1.875760081118644,0.012017719,0.7422121652316349,40.86302255755233,-41.60523471,0.050002824
-0.166666667,-0.033333333,0.05264696,1.4311146160841115,0.01001394,-16.74525295,49.93039598734066,-33.18514321,0.2824942911228542
-0.166666667,-0.083333333,0.0102381,1.6550845518397783,0.0102381,-7.947356512,48.837186079782256,-40.88982958,0.050005983
-0.166666667,-0.183333333,0.011695237,2.2138154779548067,0.011695237,26.655837305772323,16.096608045365535,-42.75244537,0.050011221
-0.166666667,0.2,0.009999488,1.4292667352470898,0.009999488,-16.84175243,50.002557812994986,-33.16080552,0.4146020111473615
-0.166666667,-0.15,0.011596603,2.0929688927061902,0.011596603,19.79266176741247,23.323412855079457,-43.11607457,0.050000803
-0.166666667,-0.2,0.081939614,2.33535662,0.012246305,31.418942007344867,9.409700036,-40.82864205,0.050001875
-0.166666667,0.016666667,0.009999862,1.4309453667972911,0.009999862,-16.77544865,50.00069088804004,-33.2252424,0.205754678
-0.166666667,-0.016666667,0.052597817,1.4298064861423254,0.010003734,-16.8134937,49.981336350194965,-33.16784283,0.299977598
-0.166666667,0.083333333,0.052577766,1.4292695635493495,0.009999669,-16.84133766,50.001654929207184,-33.16031742,0.3954376170320076
-0.166666667,0.066666667,0.009999627,1.4350604617926874,0.009999627,-16.61491285,50.00186689418603,-33.3869542,0.1731096544818109
-0.166666667,-0.183333333,0.077758755,2.213805411406694,0.011695457,26.654792132626422,16.096851661972803,-42.75164373,0.05
-0.166666667,-0.133333333,0.07070332,1.9760352433125872,0.011775528,11.236999723735424,31.22394006522003,-42.46093978,0.05
