t,F_t,F_(t),abs(fluxD),fluxHR,fluxLR,abs(fluxD)_(t),fluxHR_(t),fluxLR_(t)
82,0.0023861876676583215,0.002342554121032369,19674.16535173598,10494.17792446912,9179.987427187822,15856.385555578221,8367.017280314816,7489.368275185159
83,0.002926447581735412,0.002342554121032369,15699.18876612201,8422.992850563955,7276.195915539836,15856.385555578221,8367.017280314816,7489.368275185159
84,0.0024328192296889477,0.002342554121032369,15323.223323022394,8095.372224207946,7227.851098772051,15856.385555578221,8367.017280314816,7489.368275185159
85,0.0023647681877730165,0.002342554121032369,17483.75092183202,9276.452137581626,8207.298784266924,15856.385555578221,8367.017280314816,7489.368275185159
86,0.0027351521538338443,0.002342554121032369,21104.270452835335,11383.160670858684,9721.109782054373,15856.385555578221,8367.017280314816,7489.368275185159
87,0.002556965608113649,0.002342554121032369,17110.838007848535,9121.863553924799,7988.974454044292,15856.385555578221,8367.017280314816,7489.368275185159
88,0.0023532928378587024,0.002342554121032369,15307.85118737421,8064.7194053828935,7243.131781900607,15856.385555578221,8367.017280314816,7489.368275185159
89,0.0023855318518888045,0.002342554121032369,14339.21002143051,7532.945039695493,6806.264981815344,15856.385555578221,8367.017280314816,7489.368275185159
90,0.002710130271918885,0.002342554121032369,16162.843313724414,8632.70795707294,7530.135356537183,15856.385555578221,8367.017280314816,7489.368275185159
91,0.002371481385786942,0.002342554121032369,18117.66123862879,9629.353538184121,8488.30770044696,15856.385555578221,8367.017280314816,7489.368275185159
92,0.0026209965862183334,0.002342554121032369,12231.687142849754,6409.690557446462,5821.996585404297,15856.385555578221,8367.017280314816,7489.368275185159
93,0.002619468460341932,0.002342554121032369,13236.699581496068,6976.176766788158,6260.522814906071,15856.385555578221,8367.017280314816,7489.368275185159
94,0.002378822958860646,0.002342554121032369,15690.75611151263,8285.14719863591,7405.608912980315,15856.385555578221,8367.017280314816,7489.368275185159
95,0.0023883225196127704,0.002342554121032369,19738.61856161611,10530.41153278856,9208.207028801255,15856.385555578221,8367.017280314816,7489.368275185159
96,0.0023820409903226565,0.002342554121032369,14424.268146312243,7579.556964845382,6844.711181573439,15856.385555578221,8367.017280314816,7489.368275185159
97,0.0032424251196050934,0.002342554121032369,8703.414093950909,4519.118097325445,4184.295996658511,15856.385555578221,8367.017280314816,7489.368275185159
98,0.0025232588674867604,0.002342554121032369,16151.051627552224,8579.938449457244,7571.113178087151,15856.385555578221,8367.017280314816,7489.368275185159
99,0.0024404302856082362,0.002342554121032369,14312.973661248689,7533.481753654385,6779.491907650248,15856.385555578221,8367.017280314816,7489.368275185159
100,0.003071579375554814,0.002342554121032369,28675.91684075285,15682.907120788434,12993.009719846028,15856.385555578221,8367.017280314816,7489.368275185159
101,0.0028634473839044697,0.002342554121032369,10698.635243358236,5594.850890245463,5103.784353071467,15856.385555578221,8367.017280314816,7489.368275185159
102,0.0026615581170177736,0.002342554121032369,12205.069582434953,6404.77454362336,5800.295038940203,15856.385555578221,8367.017280314816,7489.368275185159
103,0.0023363073683530028,0.0023363073683530028,16504.72137429443,8725.441766896452,7779.279607540513,16504.72137429443,8725.441766896452,7779.279607540513
104,0.0023638736004908166,0.0023363073683530028,18928.114712962386,10075.375983280275,8852.738729748911,16504.72137429443,8725.441766896452,7779.279607540513
105,0.0024671668669518274,0.0023363073683530028,21581.82731072695,11571.682270917066,10010.145039859432,16504.72137429443,8725.441766896452,7779.279607540513
106,0.002374405383750467,0.0023363073683530028,16490.45110569999,8728.363832610536,7762.08727309751,16504.72137429443,8725.441766896452,7779.279607540513
107,0.0024695919378244255,0.0023363073683530028,17448.076402602746,9285.84708851594,8162.229314269076,16504.72137429443,8725.441766896452,7779.279607540513
108,0.003196290936895493,0.0023363073683530028,8816.91884406397,4575.942193750721,4240.976650299803,16504.72137429443,8725.441766896452,7779.279607540513
109,0.0023986286277436104,0.0023363073683530028,18011.741727269313,9578.475760992646,8433.265966315324,16504.72137429443,8725.441766896452,7779.279607540513
110,0.026162765474574606,0.0023363073683530028,1260.0689404090226,730.2284238044303,529.8405166366283,16504.72137429443,8725.441766896452,7779.279607540513
111,0.0026677811977131875,0.0023363073683530028,19695.16455287335,10584.095614360573,9111.068938529323,16504.72137429443,8725.441766896452,7779.279607540513
112,0.0027949897488411058,0.0023363073683530028,25196.805459148163,13668.243921139765,11528.561537964451,16504.72137429443,8725.441766896452,7779.279607540513
113,0.002361757621082914,0.0023363073683530028,18843.871089301538,10028.188978647762,8815.682110639122,16504.72137429443,8725.441766896452,7779.279607540513
114,0.002679577271762125,0.0023363073683530028,17896.12953047853,9588.992893668154,8307.1366368714,16504.72137429443,8725.441766896452,7779.279607540513
115,0.003139318323358553,0.0023363073683530028,9304.927441696957,4850.413845376519,4454.513596345329,16504.72137429443,8725.441766896452,7779.279607540513
116,0.0027908569760190867,0.0023363073683530028,13798.675914056716,7331.104002880325,6467.571911239451,16504.72137429443,8725.441766896452,7779.279607540513
117,0.0024652735552953913,0.0023363073683530028,14786.26477223108,7804.635821040014,6981.628951179278,16504.72137429443,8725.441766896452,7779.279607540513
118,0.0023731068258890067,0.0023363073683530028,16039.889489654335,8477.712230404119,7562.177259249758,16504.72137429443,8725.441766896452,7779.279607540513
119,0.002619249525051227,0.0023363073683530028,13660.888601362734,7214.217423985952,6446.671177415577,16504.72137429443,8725.441766896452,7779.279607540513
120,0.002616779687471352,0.0023363073683530028,11436.901209394448,5955.851831425134,5481.049377944495,16504.72137429443,8725.441766896452,7779.279607540513
121,0.0024791925562464585,0.0023363073683530028,19735.006857833854,10554.669480441204,9180.337377462594,16504.72137429443,8725.441766896452,7779.279607540513
122,0.002507832563242905,0.0023363073683530028,16179.58571956362,8591.797085535545,7587.7886340189725,16504.72137429443,8725.441766896452,7779.279607540513
123,0.002465638693104377,0.0023363073683530028,21251.610239215137,11388.870293216452,9862.739946014495,16504.72137429443,8725.441766896452,7779.279607540513
124,0.0031272437545825653,0.0023363073683530028,16810.205425965833,9085.874926342294,7724.33049964987,16504.72137429443,8725.441766896452,7779.279607540513
125,0.0025700374879398967,0.0023363073683530028,22690.266216014512,12214.571127813615,10475.695088242537,16504.72137429443,8725.441766896452,7779.279607540513
126,0.002595052986236495,0.0023363073683530028,12589.67996354142,6605.6035689798155,5984.076394535034,16504.72137429443,8725.441766896452,7779.279607540513
127,0.002454575538117537,0.0023363073683530028,16669.143770440598,8849.645310867709,7819.498459631359,16504.72137429443,8725.441766896452,7779.279607540513
128,0.0027906048377452537,0.0023363073683530028,10268.739279447007,5328.128366414661,4940.610913030097,16504.72137429443,8725.441766896452,7779.279607540513
129,0.002532236911888872,0.0023363073683530028,12787.66657408973,6701.064305835542,6086.602268350143,16504.72137429443,8725.441766896452,7779.279607540513
130,0.0025347754709071787,0.0023363073683530028,14717.547592935123,7784.3433100860275,6933.20428288103,16504.72137429443,8725.441766896452,7779.279607540513
131,0.0025257177090978727,0.0023363073683530028,13685.83103655107,7204.7526772059355,6481.078359308434,16504.72137429443,8725.441766896452,7779.279607540513
132,0.00272324681046903,0.0023363073683530028,25521.392598991893,13826.402071888391,11694.99052694274,16504.72137429443,8725.441766896452,7779.279607540513
133,0.002713689888502129,0.0023363073683530028,11119.504218578746,5799.631596786327,5319.872621793969,16504.72137429443,8725.441766896452,7779.279607540513
134,0.002558672568563356,0.0023363073683530028,15232.729290000483,8077.76037787502,7154.968912015116,16504.72137429443,8725.441766896452,7779.279607540513
135,0.002465978734933546,0.0023363073683530028,18302.964400899335,9758.544867398909,8544.419533402433,16504.72137429443,8725.441766896452,7779.279607540513
136,0.0032827783791362867,0.0023363073683530028,8346.92090557891,4315.029237055853,4031.891668510536,16504.72137429443,8725.441766896452,7779.279607540513
137,0.0025638057573927966,0.0023363073683530028,17833.019364892825,9524.380765731767,8308.638599348043,16504.72137429443,8725.441766896452,7779.279607540513
138,0.002399976065016338,0.0023363073683530028,15470.194683937763,8168.25322749943,7301.941456466957,16504.72137429443,8725.441766896452,7779.279607540513
139,0.002528222257332865,0.0023363073683530028,17595.16398303234,9383.101173464769,8212.062809822251,16504.72137429443,8725.441766896452,7779.279607540513
140,0.002507194544667716,0.0023363073683530028,15076.225015891425,7977.385820307885,7098.839195684552,16504.72137429443,8725.441766896452,7779.279607540513
141,0.0024498943785860707,0.0023363073683530028,13186.184149601293,6903.44975519459,6282.73439454312,16504.72137429443,8725.441766896452,7779.279607540513
142,0.0026247000637174443,0.0023363073683530028,13045.507168300974,6869.95320462477,6175.553963796221,16504.72137429443,8725.441766896452,7779.279607540513
143,0.0024805347633231937,0.0023363073683530028,19534.633170225396,10444.229380305631,9090.403789888995,16504.72137429443,8725.441766896452,7779.279607540513
144,0.002665007068862057,0.0023363073683530028,14453.363939482108,7668.705901860289,6784.6580379286315,16504.72137429443,8725.441766896452,7779.279607540513
145,0.0025826520783421426,0.0023363073683530028,23564.81463483849,12701.661142877856,10863.153492018486,16504.72137429443,8725.441766896452,7779.279607540513
146,0.002480836544991146,0.0023363073683530028,12774.40154310508,6679.563737033051,6094.837806144911,16504.72137429443,8725.441766896452,7779.279607540513
147,0.002709971352193438,0.0023363073683530028,11830.809189033287,6204.43602080494,5626.373168371501,16504.72137429443,8725.441766896452,7779.279607540513
148,0.002398384978055111,0.0023363073683530028,18578.247424464178,9891.908460876162,8686.338963623268,16504.72137429443,8725.441766896452,7779.279607540513
149,0.0025595781092479287,0.0023363073683530028,12449.592434046615,6517.157671201501,5932.4347629733675,16504.72137429443,8725.441766896452,7779.279607540513
150,0.002480617219039468,0.0023363073683530028,16115.916766213486,8549.257542781415,7566.6592235060525,16504.72137429443,8725.441766896452,7779.279607540513
151,0.002475775287615641,0.0023363073683530028,17058.278469648736,9071.316488528319,7986.961981033892,16504.72137429443,8725.441766896452,7779.279607540513
152,0.0023852118435429923,0.0023363073683530028,17213.735611106094,9132.629306786002,8081.106304463341,16504.72137429443,8725.441766896452,7779.279607540513
153,0.0023782823902167107,0.0023363073683530028,16296.739074351732,8621.882547125344,7674.856527247808,16504.72137429443,8725.441766896452,7779.279607540513
154,0.0023845102675223604,0.0023363073683530028,14527.00142169671,7637.716098804922,6889.285322988348,16504.72137429443,8725.441766896452,7779.279607540513
155,0.00282651795465881,0.0023363073683530028,11497.320100525802,6042.258070114629,5455.062030418572,16504.72137429443,8725.441766896452,7779.279607540513
156,0.0026701142115685417,0.0023363073683530028,24818.143980586552,13421.088428195028,11397.055552373735,16504.72137429443,8725.441766896452,7779.279607540513
157,0.0025265783844953607,0.0023363073683530028,16832.055012794386,8959.188579465219,7872.866433283714,16504.72137429443,8725.441766896452,7779.279607540513
158,0.0024551869511644413,0.0023363073683530028,21141.281037357578,11324.844087331534,9816.43695002611,16504.72137429443,8725.441766896452,7779.279607540513
159,0.002336155192591726,0.002336155192591726,16549.11272626152,8750.037510267597,7799.07521587918,16549.11272626152,8750.037510267597,7799.07521587918
160,0.002386112798764067,0.002336155192591726,19672.262450139096,10493.10466790387,9179.157782113725,16549.11272626152,8750.037510267597,7799.07521587918
161,0.002481082256580655,0.002336155192591726,14213.3450830855,7488.631403226558,6724.713679738452,16549.11272626152,8750.037510267597,7799.07521587918
162,0.0023431832212457895,0.002336155192591726,15819.037088697572,8346.424455004686,7472.6126337229,16549.11272626152,8750.037510267597,7799.07521587918
163,0.0027085568633714373,0.002336155192591726,25330.776632000576,13716.421779542507,11614.354852472767,16549.11272626152,8750.037510267597,7799.07521587918
164,0.0023358942538020348,0.0023358942538020348,16617.25365476447,8787.778603666964,7829.4750512334285,16617.25365476447,8787.778603666964,7829.4750512334285
165,0.0025158545936465777,0.0023358942538020348,12370.729457322654,6460.583621094054,5910.145836284282,16617.25365476447,8787.778603666964,7829.4750512334285
166,0.002541108382078696,0.0023358942538020348,13346.760207944259,7018.335025660999,6328.425182267158,16617.25365476447,8787.778603666964,7829.4750512334285
167,0.0023691123112401105,0.0023358942538020348,19123.955795797636,10185.152294523461,8938.803501228162,16617.25365476447,8787.778603666964,7829.4750512334285
168,0.00267113003861441,0.0023358942538020348,24833.310861712147,13429.786864779686,11403.523996899603,16617.25365476447,8787.778603666964,7829.4750512334285
169,0.0028200272808749367,0.0023358942538020348,14470.471909849555,7713.500072729723,6756.971837305035,16617.25365476447,8787.778603666964,7829.4750512334285
170,0.002438219667268561,0.0023358942538020348,20983.537802492472,11232.701606676193,9750.836195898715,16617.25365476447,8787.778603666964,7829.4750512334285
171,0.003088567446114782,0.0023358942538020348,15832.393653506617,8531.32685884837,7301.066794667822,16617.25365476447,8787.778603666964,7829.4750512334285
172,0.002668318043711926,0.0023358942538020348,11203.988408787613,5836.200387378922,5367.788021541295,16617.25365476447,8787.778603666964,7829.4750512334285
173,0.0034589804593545214,0.0023358942538020348,13102.656692533259,7067.341919002269,6035.314773514561,16617.25365476447,8787.778603666964,7829.4750512334285
174,0.0023850319439371473,0.0023358942538020348,19643.243805448292,10476.755660465322,9166.488144987437,16617.25365476447,8787.778603666964,7829.4750512334285
175,0.0026724045986646276,0.0023358942538020348,13059.017289859388,6889.051303077256,6169.965986806797,16617.25365476447,8787.778603666964,7829.4750512334285
176,0.0029069074039913927,0.0023358942538020348,9745.912558180018,5053.118495760027,4692.794062431145,16617.25365476447,8787.778603666964,7829.4750512334285
177,0.0024797329595620593,0.0023358942538020348,13924.356753189873,7326.432173573805,6597.924579740989,16617.25365476447,8787.778603666964,7829.4750512334285
178,0.0023956932137594754,0.0023358942538020348,19947.895342664124,10648.183041960074,9299.712300663006,16617.25365476447,8787.778603666964,7829.4750512334285
179,0.0024570554559125725,0.0023358942538020348,13085.613170212106,6848.730294630383,6236.882875593445,16617.25365476447,8787.778603666964,7829.4750512334285
180,0.0023640121342149135,0.0023358942538020348,14920.44981235516,7851.715284960272,7068.734527488974,16617.25365476447,8787.778603666964,7829.4750512334285
181,0.002567272395706875,0.0023358942538020348,13078.52413351537,6874.169778391428,6204.354355188472,16617.25365476447,8787.778603666964,7829.4750512334285
182,0.0025854823962358064,0.0023358942538020348,16554.056785840658,8819.859759460567,7734.197026360496,16617.25365476447,8787.778603666964,7829.4750512334285
183,0.002610024856984826,0.0023358942538020348,18233.463606949023,9758.518507071749,8474.945099767654,16617.25365476447,8787.778603666964,7829.4750512334285
184,0.0023360891728475097,0.0023358942538020348,17115.89225815941,9064.37363491636,8051.518623312411,16617.25365476447,8787.778603666964,7829.4750512334285
185,0.0034080614670672616,0.0023358942538020348,28478.00442625981,15671.474417286408,12806.53000905001,16617.25365476447,8787.778603666964,7829.4750512334285
186,0.0033472557446089465,0.0023358942538020348,8047.3256868801545,4148.495937021587,3898.8297499747277,16617.25365476447,8787.778603666964,7829.4750512334285
187,0.002886866673780197,0.0023358942538020348,18090.701755687187,9747.153832895201,8343.547922904596,16617.25365476447,8787.778603666964,7829.4750512334285
188,0.0027646371490675143,0.0023358942538020348,26043.282726460253,14128.00486480489,11915.277861665767,16617.25365476447,8787.778603666964,7829.4750512334285
189,0.0023906100474665915,0.0023358942538020348,15946.122146013193,8430.476013675012,7515.646132291025,16617.25365476447,8787.778603666964,7829.4750512334285
190,0.0030091981771431615,0.0023358942538020348,21995.32421906438,11949.476052766928,10045.848166245705,16617.25365476447,8787.778603666964,7829.4750512334285
191,0.002530613440310748,0.0023358942538020348,22731.871650779212,12225.800528755128,10506.071121932138,16617.25365476447,8787.778603666964,7829.4750512334285
192,0.0024914418493305413,0.0023358942538020348,15235.360926215188,8062.000221409908,7173.360704802042,16617.25365476447,8787.778603666964,7829.4750512334285
193,0.002360905603516806,0.0023358942538020348,16965.49762216097,8988.117543951637,7977.380078190297,16617.25365476447,8787.778603666964,7829.4750512334285
194,0.0024827652972391053,0.0023358942538020348,21881.905299732927,11742.042241811767,10139.863057991628,16617.25365476447,8787.778603666964,7829.4750512334285
195,0.002543365627109893,0.0023358942538020348,12662.466338709142,6633.287197994679,6029.179140671193,16617.25365476447,8787.778603666964,7829.4750512334285
196,0.002456798427879289,0.0023358942538020348,15307.454921754223,8093.029354613733,7214.425567180537,16617.25365476447,8787.778603666964,7829.4750512334285
